timestamp,id_equipo,t_ambiente_C,t_interior_C,delta_t_cond_C,eta_compresor,cop,temp_descarga_C,trabajo_kW,calor_extraido_kW,calidad_evap,estado
2025-12-19 22:06:33,CAMARA_01_CARNES,10.4,-17.8,15.0,0.761,3.65,42.4,5.023,18.321,0.278,NORMAL
2025-12-19 22:06:33,CAMARA_02_LACTEOS,10.4,3.5,15.0,0.721,8.38,33.4,1.583,13.264,0.152,NORMAL
2025-12-19 22:06:33,CAMARA_03_VERDURAS,10.4,3.7,15.0,0.747,8.67,32.8,1.529,13.264,0.152,NORMAL
2025-12-19 23:06:33,CAMARA_01_CARNES,13.6,-18.1,15.0,0.736,3.22,47.9,5.523,17.77,0.3,NORMAL
2025-12-19 23:06:33,CAMARA_02_LACTEOS,13.6,4.1,15.0,0.767,7.61,36.3,1.694,12.897,0.175,NORMAL
2025-12-19 23:06:33,CAMARA_03_VERDURAS,13.6,4.0,15.0,0.758,7.53,36.5,1.714,12.897,0.175,NORMAL
2025-12-20 00:06:33,CAMARA_01_CARNES,10.1,-18.2,15.0,0.762,3.68,42.0,4.986,18.372,0.276,NORMAL
2025-12-20 00:06:33,CAMARA_02_LACTEOS,10.1,4.4,15.0,0.737,8.69,32.6,1.53,13.298,0.15,NORMAL
2025-12-20 00:06:33,CAMARA_03_VERDURAS,10.1,3.8,15.0,0.748,8.83,32.3,1.507,13.298,0.15,NORMAL
2025-12-20 01:06:33,CAMARA_01_CARNES,9.4,-17.6,15.0,0.76,3.76,41.2,4.924,18.492,0.272,NORMAL
2025-12-20 01:06:33,CAMARA_02_LACTEOS,9.4,4.2,15.0,0.729,8.93,31.9,1.499,13.378,0.145,NORMAL
2025-12-20 01:06:33,CAMARA_03_VERDURAS,9.4,4.4,15.0,0.742,9.08,31.6,1.473,13.378,0.145,NORMAL
2025-12-20 02:06:33,CAMARA_01_CARNES,11.4,-18.3,15.0,0.721,3.36,46.0,5.402,18.149,0.285,NORMAL
2025-12-20 02:06:33,CAMARA_02_LACTEOS,11.4,4.2,15.0,0.74,8.17,34.2,1.61,13.15,0.159,NORMAL
2025-12-20 02:06:33,CAMARA_03_VERDURAS,11.4,4.4,15.0,0.722,7.97,34.7,1.65,13.15,0.159,NORMAL
2025-12-20 03:06:33,CAMARA_01_CARNES,9.9,-17.7,15.0,0.72,3.51,44.1,5.251,18.406,0.275,NORMAL
2025-12-20 03:06:33,CAMARA_02_LACTEOS,9.9,3.5,15.0,0.769,9.17,31.6,1.453,13.321,0.148,NORMAL
2025-12-20 03:06:33,CAMARA_03_VERDURAS,9.9,4.3,15.0,0.729,8.7,32.6,1.532,13.321,0.148,NORMAL
2025-12-20 04:06:33,CAMARA_01_CARNES,10.8,-18.0,17.1,0.736,3.29,46.9,5.446,17.898,0.295,NORMAL
2025-12-20 04:06:33,CAMARA_02_LACTEOS,10.8,3.7,15.0,0.766,8.72,32.8,1.516,13.219,0.155,NORMAL
2025-12-20 04:06:33,CAMARA_03_VERDURAS,10.8,3.6,15.0,0.747,8.5,33.3,1.555,13.219,0.155,NORMAL
2025-12-20 05:06:33,CAMARA_01_CARNES,8.6,-17.5,15.0,0.742,3.75,41.2,4.966,18.628,0.266,NORMAL
2025-12-20 05:06:33,CAMARA_02_LACTEOS,8.6,3.7,15.0,0.768,9.82,30.0,1.371,13.469,0.139,NORMAL
2025-12-20 05:06:33,CAMARA_03_VERDURAS,8.6,4.5,15.0,0.737,9.43,30.7,1.428,13.469,0.139,NORMAL
2025-12-20 06:06:33,CAMARA_01_CARNES,12.1,-17.8,15.0,0.744,3.4,45.5,5.31,18.029,0.29,NORMAL
2025-12-20 06:06:33,CAMARA_02_LACTEOS,12.1,4.2,17.0,0.758,7.34,37.2,1.75,12.835,0.179,NORMAL
2025-12-20 06:06:33,CAMARA_03_VERDURAS,12.1,4.1,15.0,0.728,7.76,35.5,1.684,13.07,0.164,NORMAL
2025-12-20 07:06:33,CAMARA_01_CARNES,14.0,-18.3,15.0,0.756,3.27,47.1,5.412,17.701,0.303,NORMAL
2025-12-20 07:06:33,CAMARA_02_LACTEOS,14.0,4.0,17.5,0.737,6.45,40.7,1.949,12.567,0.197,NORMAL
2025-12-20 07:06:33,CAMARA_03_VERDURAS,14.0,4.1,16.0,0.728,6.77,39.2,1.881,12.731,0.186,NORMAL
2025-12-20 08:06:33,CAMARA_01_CARNES,11.6,-18.4,15.0,0.739,3.42,45.1,5.292,18.115,0.286,NORMAL
2025-12-20 08:06:33,CAMARA_02_LACTEOS,11.6,3.9,15.0,0.742,8.11,34.4,1.619,13.127,0.161,NORMAL
2025-12-20 08:06:33,CAMARA_03_VERDURAS,11.6,4.4,20.5,0.765,6.51,40.7,1.918,12.491,0.201,ADVERTENCIA
2025-12-20 09:06:33,CAMARA_01_CARNES,13.1,-17.6,15.0,0.742,3.29,46.8,5.425,17.857,0.297,NORMAL
2025-12-20 09:06:33,CAMARA_02_LACTEOS,13.1,3.8,15.0,0.766,7.78,35.7,1.665,12.955,0.172,NORMAL
2025-12-20 09:06:33,CAMARA_03_VERDURAS,13.1,4.2,15.0,0.756,7.68,35.9,1.686,12.955,0.172,NORMAL
